auctionid,count
3020701670,27
3020805007,18
3020818693,16
3020823944,32
3021003299,2
3021836029,8
3021855303,18
3021870696,9
3021884961,24
3021965054,10
3021984260,26
3022000145,3
3022018351,1
3022303986,10
3022352711,39
3022476363,13
3022527291,19
3022613118,9
3022668008,5
3022716748,23
3022774388,29
3022783472,26
3022785804,2
3022814911,32
3022847852,27
3022878518,19
3022969296,22
3023004423,16
3023120360,35
3023163333,4
3023174478,54
3023175174,22
3023183955,1
3023187210,11
3023249693,16
3023251181,24
3023263834,29
3023275213,7
3023355964,7
3023387988,14
3023389524,16
3023456362,20
3023474060,23
3023568805,10
3023574629,10
3023583801,11
3023639205,26
3023639316,31
3023647851,16
3023652961,1
3023653116,3
3023653148,4
3023653216,5
3023653463,6
3023680963,23
3023700043,11
3023746524,34
3023748273,42
3023754303,2
3023864656,6
3023876273,29
3023885393,9
3023885982,26
3023898379,27
3023920921,1
3023962700,25
3024052380,17
3024061761,7
3024062340,7
3024095861,17
3024119831,22
3024121735,1
3024122118,1
3024124623,41
3024165142,40
3024179301,19
3024264085,21
3024267974,12
3024274951,18
3024287595,12
3024290827,26
3024307014,6
3024307294,3
3024361363,26
3024406300,19
3024416642,30
3024428241,6
3024428283,11
3024471745,5
3024487267,33
3024504428,1
3024527409,26
3024568877,20
3024579326,11
3024579522,7
3024582522,17
3024659380,26
3024662462,5
3024676416,38
3024680777,3
3024707992,20
3024799631,18
3024823511,45
3024854454,5
3024889230,5
3024889358,1
3024895548,7
3024918848,20
3024953755,20
3024980031,35
3024980402,26
3025035412,1
3025036419,1
3025106904,9
3025133084,19
3025160117,4
3025212496,6
3025232103,4
3025263643,7
3025266581,26
3025307344,17
3025307420,40
3025370463,23
3025373736,15
3025433808,3
3025453701,7
3025473203,37
3025486868,28
3025507248,7
3025598612,8
3025598698,2
3025604983,9
3025639289,1
3025655397,6
3025656717,6
3025665574,41
3025671430,32
3025677685,6
3025778593,22
3025778985,8
3025836567,5
3025866584,1
3025885755,7
3026102735,8
3026299552,7
3026374373,37
3406945791,20
3410601613,29
8211480551,12
8211763485,31
8211851222,28
8212110388,27
8212116757,19
8212122220,6
8212135847,26
8212140993,40
8212143601,9
8212145833,26
8212157034,18
8212165593,28
8212170033,16
8212182237,5
8212183207,26
8212198987,17
8212236671,43
8212237522,10
8212248443,23
8212264580,22
8212268905,7
8212272351,9
8212277835,3
8212339045,21
8212359174,45
8212381867,24
8212408545,25
8212441657,2
8212530768,5
8212590929,8
8212591610,35
8212602164,50
8212610170,20
8212610485,10
8212629520,57
8212631876,18
8212635193,22
8212668731,36
8212711136,13
8212752835,25
8212755285,26
8212760279,19
8212819110,6
8212830525,32
8212839477,8
8212848054,27
8212869625,16
8212870695,20
8212878941,9
8212883411,18
8212889138,21
8212896511,2
8212898463,15
8212899346,17
8212903200,19
8212903781,38
8212944779,23
8212964295,11
8212966887,12
8212969221,19
8212989463,2
8213013625,36
8213034705,4
8213037774,16
8213047071,25
8213049640,24
8213058220,8
8213060420,22
8213063145,23
8213066557,30
8213067838,20
8213073509,21
8213081560,17
8213082427,26
8213085879,15
8213118813,15
8213119950,34
8213122141,22
8213123943,14
8213137264,4
8213162076,12
8213183841,13
8213188385,38
8213266411,5
8213266439,3
8213267098,6
8213297233,22
8213305402,24
8213318286,10
8213369721,15
8213387444,36
8213387659,25
8213403462,9
8213472092,3
8213495915,19
8213504270,20
8213511406,23
8213515739,12
8213702304,7
8213733010,6
8213759776,10
8213922989,15
8213932495,9
8213935134,15
8213956836,8
8214275008,38
8214277489,17
8214279576,4
8214294890,22
8214330322,41
8214355679,75
8214364171,16
8214378351,26
8214418083,12
8214430396,26
8214435010,35
8214435808,2
8214733985,7
8214735736,10
8214745918,13
8214749544,16
8214767887,9
8214772603,35
8214772755,19
8214784050,9
8214786481,16
8214801298,6
8214801302,16
8214803514,13
8214823984,20
8214862356,9
8214864036,22
8214864154,12
8214889177,21
8214917158,19
8214999031,21
8215000309,30
8215001975,19
8215125069,19
8215129004,18
8215145547,7
8215188105,13
8215408023,28
8215558653,14
8215571039,20
8215582227,16
8215605488,11
8215610555,14
